i,	j,	accuracy
6,	0,	0.6429
6,	1,	0.6250
6,	2,	0.5714
6,	3,	0.7143
6,	4,	0.5893
6,	5,	0.7500
6,	6,	0.7589
6,	7,	0.6518
6,	8,	0.5268
6,	9,	0.8036
6,	10,	0.5625
6,	11,	0.7143
6,	12,	0.6786
6,	13,	0.7768
6,	14,	0.3571
6,	15,	0.7589
6,	16,	0.5089
6,	17,	0.5536
6,	18,	0.5714
6,	19,	0.7768
6,	20,	0.6696
6,	21,	0.5804
6,	22,	0.4643
6,	23,	0.6696
6,	24,	0.6607
6,	25,	0.7321
6,	26,	0.7054
6,	27,	0.4643
6,	28,	0.6696
6,	29,	0.8482
6,	30,	0.7500
6,	31,	0.5982
6,	32,	0.6071
6,	33,	0.7054
6,	34,	0.7232
6,	35,	0.8125
6,	36,	0.8661
6,	37,	0.7232
6,	38,	0.3661
6,	39,	0.6607
7,	0,	0.7143
7,	1,	0.5804
7,	2,	0.7054
7,	3,	0.6964
7,	4,	0.8571
7,	5,	0.7500
7,	6,	0.7054
7,	7,	0.6339
7,	8,	0.5982
7,	9,	0.6607
7,	10,	0.7589
7,	11,	0.6786
7,	12,	0.8482
7,	13,	0.7500
7,	14,	0.4107
7,	15,	0.7232
7,	16,	0.5179
7,	17,	0.7143
7,	18,	0.6161
7,	19,	0.7054
7,	20,	0.4821
7,	21,	0.7679
7,	22,	0.5446
7,	23,	0.7589
7,	24,	0.5625
7,	25,	0.6429
7,	26,	0.6875
7,	27,	0.6786
7,	28,	0.6250
7,	29,	0.7321
7,	30,	0.7768
7,	31,	0.5893
7,	32,	0.6964
7,	33,	0.6964
7,	34,	0.7411
7,	35,	0.8750
7,	36,	0.7321
7,	37,	0.7143
7,	38,	0.4732
7,	39,	0.8125
8,	0,	0.6250
8,	1,	0.5089
8,	2,	0.5357
8,	3,	0.7679
8,	4,	0.6696
8,	5,	0.7500
8,	6,	0.7143
8,	7,	0.7054
8,	8,	0.5357
8,	9,	0.6696
8,	10,	0.8125
8,	11,	0.7589
8,	12,	0.5357
8,	13,	0.7679
8,	14,	0.5982
8,	15,	0.7946
8,	16,	0.3393
8,	17,	0.6429
8,	18,	0.5446
8,	19,	0.8125
8,	20,	0.5804
8,	21,	0.6786
8,	22,	0.5536
8,	23,	0.6964
8,	24,	0.4554
8,	25,	0.7143
8,	26,	0.7054
8,	27,	0.6429
8,	28,	0.7143
8,	29,	0.7679
8,	30,	0.6786
8,	31,	0.5893
8,	32,	0.5268
8,	33,	0.7411
8,	34,	0.6250
8,	35,	0.7321
8,	36,	0.8214
8,	37,	0.6786
8,	38,	0.4911
8,	39,	0.6786
9,	0,	0.6250
9,	1,	0.6607
9,	2,	0.6875
9,	3,	0.4911
9,	4,	0.9018
9,	5,	0.8393
9,	6,	0.6071
9,	7,	0.6964
9,	8,	0.3750
9,	9,	0.6518
9,	10,	0.6786
9,	11,	0.8750
9,	12,	0.7321
9,	13,	0.7946
9,	14,	0.6161
9,	15,	0.8214
9,	16,	0.4821
9,	17,	0.6429
9,	18,	0.5714
9,	19,	0.7768
9,	20,	0.5357
9,	21,	0.7054
9,	22,	0.6250
9,	23,	0.7768
9,	24,	0.6875
9,	25,	0.7589
9,	26,	0.6964
9,	27,	0.4821
9,	28,	0.5179
9,	29,	0.8036
9,	30,	0.5893
9,	31,	0.6339
9,	32,	0.6429
9,	33,	0.8571
9,	34,	0.7857
9,	35,	0.9286
9,	36,	0.7500
9,	37,	0.6696
9,	38,	0.2589
