0;	0;	211.6412
0;	1;	138.0293
0;	2;	253.9084
0;	3;	34.3689
0;	4;	142.8968
0;	5;	237.2188
0;	6;	184.2085
0;	7;	193.3241
0;	8;	153.5585
0;	9;	224.3094
0;	10;	171.0230
0;	11;	95.6745
0;	12;	186.0821
0;	13;	217.3408
0;	14;	180.1013
0;	15;	236.6090
0;	16;	241.9148
0;	17;	51.5734
0;	18;	257.2568
0;	19;	244.8529
0;	20;	124.6798
0;	21;	53.9998
0;	22;	125.1997
0;	23;	183.4636
0;	24;	198.1480
0;	25;	228.9053
0;	26;	220.8892
0;	27;	159.5068
0;	28;	93.4705
0;	29;	125.3497
0;	30;	213.0292
0;	31;	150.9789
0;	32;	133.0147
0;	33;	112.4896
0;	34;	230.4570
0;	35;	245.0638
0;	36;	239.1414
0;	37;	200.1837
0;	38;	171.2461
0;	39;	229.3928
1;	0;	211.9734
1;	1;	137.1182
1;	2;	253.7002
1;	3;	34.3083
1;	4;	141.3409
