2;	0;	1202.4786
2;	1;	448.5397
2;	2;	434.4859
2;	3;	337.7762
2;	4;	682.2855
2;	5;	1170.9682
2;	6;	818.4609
2;	7;	613.4963
2;	8;	892.4528
2;	9;	1008.5386
2;	10;	1374.6733
2;	11;	915.4230
2;	12;	905.8223
2;	13;	926.0089
2;	14;	471.8857
2;	15;	1100.3266
2;	16;	870.4188
2;	17;	607.7397
2;	18;	810.1637
2;	19;	911.5195
2;	20;	1335.2463
2;	21;	813.7450
2;	22;	1062.0734
2;	23;	1000.7287
2;	24;	1030.6786
2;	25;	846.6054
2;	26;	469.0575
2;	27;	1048.3592
2;	28;	880.2552
2;	29;	1272.2472
2;	30;	434.8897
2;	31;	941.5891
2;	32;	776.2696
2;	33;	926.4394
2;	34;	568.1517
2;	35;	800.4874
2;	36;	1260.5662
2;	37;	837.4864
2;	38;	512.5821
2;	39;	851.4511
