i,	j,	accuracy
0,	0,	0.2302
0,	1,	0.2206
0,	2,	0.2086
0,	3,	0.1823
0,	4,	0.2038
0,	5,	0.1871
0,	6,	0.2254
0,	7,	0.2374
0,	8,	0.1990
0,	9,	0.1583
1,	0,	0.2182
1,	1,	0.2014
1,	2,	0.1966
1,	3,	0.2062
1,	4,	0.2206
1,	5,	0.1990
1,	6,	0.2230
1,	7,	0.1966
1,	8,	0.1942
1,	9,	0.2086
2,	0,	0.2230
2,	1,	0.1990
2,	2,	0.1247
2,	3,	0.2422
2,	4,	0.2254
2,	5,	0.1990
2,	6,	0.2278
2,	7,	0.1823
2,	8,	0.2062
2,	9,	0.1966
