i,	j,	accuracy
0,	0,	1.0000
0,	1,	0.5294
0,	2,	0.9412
0,	3,	0.6471
0,	4,	0.5882
0,	5,	0.8824
0,	6,	0.8824
0,	7,	0.7059
0,	8,	0.7647
0,	9,	0.7059
1,	0,	1.0000
1,	1,	0.7059
1,	2,	0.7059
1,	3,	0.8235
1,	4,	0.7059
1,	5,	0.5882
1,	6,	0.7059
1,	7,	1.0000
1,	8,	0.8824
1,	9,	0.7647
2,	0,	1.0000
2,	1,	0.7059
2,	2,	0.7647
2,	3,	0.6471
2,	4,	0.7059
2,	5,	0.8235
2,	6,	0.5294
2,	7,	0.5294
2,	8,	0.7647
2,	9,	0.6471
