4;	17;	846.4326
4;	18;	776.3953
4;	19;	1123.9832
4;	20;	1296.7402
4;	21;	889.1324
4;	22;	817.9198
4;	23;	1101.0778
4;	24;	788.0442
4;	25;	922.1698
4;	26;	750.2560
4;	27;	945.3476
4;	28;	1072.9993
4;	29;	1161.5376
4;	30;	907.5734
4;	31;	1026.3742
4;	32;	1149.0118
4;	33;	924.5078
4;	34;	1169.7914
4;	35;	1169.1274
4;	36;	994.5527
4;	37;	493.5260
4;	38;	1218.0763
4;	39;	1144.6897
5;	17;	908.2950
5;	18;	1217.8935
5;	19;	1213.2906
5;	20;	1229.4881
5;	21;	1021.4941
5;	22;	1107.4064
5;	23;	884.4408
5;	24;	1024.7731
5;	25;	1031.6037
5;	26;	690.6507
5;	27;	938.8104
5;	28;	1201.8448
5;	29;	1088.7838
5;	30;	729.4932
5;	31;	682.6174
5;	32;	1025.7292
5;	33;	1099.8304
5;	34;	1158.5348
5;	35;	621.8892
5;	36;	1030.1754
5;	37;	1172.0598
5;	38;	924.8656
5;	39;	913.4899
