0;	0;	1101.8309
0;	1;	1118.7621
0;	2;	1044.3617
0;	3;	669.5137
0;	4;	895.4833
0;	5;	268.1939
0;	6;	1165.1167
0;	7;	947.1294
0;	8;	1095.0122
0;	9;	854.3488
0;	10;	1105.5464
0;	11;	649.3345
0;	12;	785.7148
0;	13;	1050.3459
0;	14;	755.4167
0;	15;	909.1848
0;	16;	673.6511
0;	17;	1090.0415
0;	18;	954.7043
0;	19;	533.7195
0;	20;	1126.3234
0;	21;	808.3076
0;	22;	1135.6187
0;	23;	927.2979
0;	24;	1155.8234
0;	25;	931.8816
0;	26;	1136.3216
0;	27;	875.6504
0;	28;	1227.8415
0;	29;	603.3499
0;	30;	1309.1177
0;	31;	759.7676
0;	32;	1031.0796
0;	33;	839.1244
0;	34;	1108.3270
0;	35;	561.6224
0;	36;	629.3497
0;	37;	798.8310
0;	38;	921.7647
0;	39;	927.4698
1;	0;	994.3855
1;	1;	907.2801
1;	2;	1103.4120
1;	3;	997.1203
1;	4;	183.2353
1;	5;	1158.8969
1;	6;	1062.6807
1;	7;	1241.7875
1;	8;	855.2909
1;	9;	1160.6900
1;	10;	788.4580
1;	11;	1130.1171
1;	12;	1057.4279
1;	13;	1073.7780
1;	14;	256.5096
1;	15;	1143.2299
1;	16;	935.4393
1;	17;	1076.8757
1;	18;	423.8800
1;	19;	575.3963
1;	20;	1248.4318
1;	21;	1123.2935
1;	22;	1149.2805
1;	23;	430.7692
1;	24;	883.2805
1;	25;	678.0552
1;	26;	1070.7563
1;	27;	980.6659
1;	28;	1105.0221
1;	29;	790.7008
1;	30;	1058.4180
1;	31;	1196.4543
1;	32;	854.1679
1;	33;	1224.7774
1;	34;	944.8096
1;	35;	925.6028
1;	36;	907.7474
1;	37;	1072.4168
1;	38;	1192.2836
1;	39;	691.0402
2;	0;	1148.7601
2;	1;	474.9005
2;	2;	464.0566
2;	3;	379.2807
2;	4;	683.1450
2;	5;	1115.6630
2;	6;	803.3875
2;	7;	622.3945
2;	8;	870.9592
2;	9;	971.0610
2;	10;	1300.1819
2;	11;	890.6811
2;	12;	883.6532
2;	13;	900.3402
2;	14;	498.1794
2;	15;	1053.1232
2;	16;	851.0724
2;	17;	617.8390
2;	18;	795.9122
2;	19;	887.6201
2;	20;	1265.1828
2;	21;	806.7912
2;	22;	1020.1174
2;	23;	967.1568
2;	24;	992.0621
2;	25;	830.2608
2;	26;	494.2237
2;	27;	1009.5472
2;	28;	858.9019
2;	29;	1207.7778
2;	30;	466.1452
2;	31;	914.9936
2;	32;	766.1572
2;	33;	900.5694
2;	34;	582.6193
2;	35;	789.4768
2;	36;	1196.0385
2;	37;	822.3282
2;	38;	531.1636
2;	39;	830.5324
