0;	0;	1004.7644
0;	1;	1020.9463
0;	2;	948.2104
0;	3;	582.9824
0;	4;	799.4799
0;	5;	187.4056
0;	6;	1067.5470
0;	7;	851.0003
0;	8;	998.9275
0;	9;	761.1834
0;	10;	1009.1553
0;	11;	562.8460
0;	12;	692.1901
0;	13;	954.1511
0;	14;	663.6652
0;	15;	815.7640
0;	16;	587.1010
0;	17;	992.7796
0;	18;	861.5890
0;	19;	449.2364
0;	20;	1028.5098
0;	21;	717.2086
0;	22;	1037.0679
0;	23;	834.1189
0;	24;	1056.7254
0;	25;	838.8672
0;	26;	1037.3686
0;	27;	784.6123
0;	28;	1126.5827
0;	29;	518.9362
0;	30;	1206.7431
0;	31;	672.8519
0;	32;	939.5676
0;	33;	750.6668
0;	34;	1015.5896
0;	35;	477.6069
0;	36;	544.3907
0;	37;	711.1899
0;	38;	831.7843
0;	39;	837.7048
1;	0;	903.2511
1;	1;	817.6324
1;	2;	1010.2332
1;	3;	905.9075
1;	4;	103.8255
1;	5;	1064.8511
1;	6;	969.9982
1;	7;	1145.9933
1;	8;	766.5109
1;	9;	1061.6727
1;	10;	699.9910
1;	11;	1032.8315
1;	12;	961.3554
1;	13;	976.8815
1;	14;	175.8812
1;	15;	1045.3842
1;	16;	840.8944
1;	17;	980.5108
1;	18;	341.1358
1;	19;	490.5982
1;	20;	1147.9929
1;	21;	1025.8570
1;	22;	1052.0735
1;	23;	348.3754
1;	24;	788.8187
1;	25;	592.7621
1;	26;	978.6595
1;	27;	890.0241
1;	28;	1012.6138
1;	29;	702.8773
1;	30;	966.8995
1;	31;	1101.9351
1;	32;	765.6613
1;	33;	1128.9571
1;	34;	854.4719
1;	35;	833.8654
1;	36;	818.4803
1;	37;	979.8825
1;	38;	1097.3374
1;	39;	604.8007
2;	0;	1052.5723
2;	1;	392.3343
2;	2;	381.2553
2;	3;	297.3925
2;	4;	597.1186
2;	5;	1023.0165
2;	6;	715.8013
2;	7;	537.3188
2;	8;	781.1734
2;	9;	880.3671
2;	10;	1202.7737
2;	11;	800.6367
2;	12;	793.6398
2;	13;	809.8954
2;	14;	413.8403
2;	15;	960.5951
2;	16;	761.5076
2;	17;	531.9693
2;	18;	707.6390
2;	19;	797.6100
2;	20;	1168.0114
2;	21;	712.6904
2;	22;	927.4814
2;	23;	874.5964
2;	24;	901.0828
2;	25;	741.3728
2;	26;	410.6066
2;	27;	917.6743
2;	28;	769.6462
2;	29;	1112.3993
2;	30;	382.2907
2;	31;	824.4646
2;	32;	678.6264
2;	33;	810.5895
2;	34;	497.6263
2;	35;	701.5713
2;	36;	1101.5372
2;	37;	733.7419
2;	38;	447.6330
2;	39;	742.8377
