i,	j,	accuracy
0,	0,	0.7763
0,	1,	0.8158
0,	2,	0.6974
0,	3,	0.7763
0,	4,	0.7237
0,	5,	0.7763
0,	6,	0.6974
0,	7,	0.6711
0,	8,	0.6842
0,	9,	0.7763
1,	0,	0.7105
1,	1,	0.6711
1,	2,	0.6447
1,	3,	0.7500
1,	4,	0.7632
1,	5,	0.7368
1,	6,	0.6316
1,	7,	0.7895
1,	8,	0.7237
1,	9,	0.7368
2,	0,	0.8026
2,	1,	0.7237
2,	2,	0.6447
2,	3,	0.7763
2,	4,	0.7105
2,	5,	0.6974
2,	6,	0.6447
2,	7,	0.6974
2,	8,	0.6711
2,	9,	0.7237
