i,	j,	accuracy
0,	0,	0.7763
0,	1,	0.7368
0,	2,	0.7237
0,	3,	0.7237
0,	4,	0.6316
0,	5,	0.7763
0,	6,	0.7368
0,	7,	0.7105
0,	8,	0.7368
0,	9,	0.7763
1,	0,	0.7763
1,	1,	0.7368
1,	2,	0.5921
1,	3,	0.7237
1,	4,	0.6579
1,	5,	0.7500
1,	6,	0.7368
1,	7,	0.7105
1,	8,	0.7500
1,	9,	0.7500
2,	0,	0.7500
2,	1,	0.7763
2,	2,	0.7237
2,	3,	0.7500
2,	4,	0.7237
2,	5,	0.7500
2,	6,	0.8158
2,	7,	0.7500
2,	8,	0.7632
2,	9,	0.6579
