0;	0;	9925.8514
0;	1;	19583.5799
0;	2;	23621.1735
0;	3;	10380.1429
0;	4;	22612.3758
0;	5;	8039.8340
0;	6;	7973.4804
0;	7;	22631.4477
0;	8;	18191.5380
0;	9;	18704.0825
1;	0;	26833.3770
1;	1;	21804.1849
1;	2;	21959.7446
1;	3;	21149.3303
1;	4;	7945.1621
1;	5;	18146.1542
1;	6;	22292.5302
1;	7;	18369.3616
1;	8;	24154.9031
1;	9;	23653.1631
2;	0;	4972.3664
2;	1;	13249.3850
2;	2;	21531.0035
2;	3;	5609.7867
2;	4;	9519.5815
2;	5;	10723.9070
2;	6;	3379.4113
2;	7;	7926.6032
2;	8;	10814.1006
2;	9;	8444.3359
