0;	0;	9988.3381
0;	1;	19655.6071
0;	2;	23696.6106
0;	3;	10442.9639
0;	4;	22687.3332
0;	5;	8101.5189
0;	6;	8034.4472
0;	7;	22706.8556
0;	8;	18261.8281
0;	9;	18775.2766
1;	0;	26912.9897
1;	1;	21878.6473
1;	2;	22033.8131
1;	3;	21224.0113
1;	4;	8006.5411
1;	5;	18217.3526
1;	6;	22367.8109
1;	7;	18439.9550
1;	8;	24232.0391
1;	9;	23730.1064
2;	0;	5032.1445
2;	1;	13315.8078
2;	2;	21605.2240
2;	3;	5670.0754
2;	4;	9583.3812
2;	5;	10787.9265
2;	6;	3437.9259
2;	7;	7988.7764
2;	8;	10878.2499
2;	9;	8506.1298
