0;	0;	9988.0442
0;	1;	19655.1386
0;	2;	23696.1246
0;	3;	10442.4189
0;	4;	22686.9697
0;	5;	8101.0334
0;	6;	8034.0202
0;	7;	22706.4176
0;	8;	18261.2891
0;	9;	18774.7336
1;	0;	26912.5737
1;	1;	21878.2494
1;	2;	22033.2311
1;	3;	21223.5203
1;	4;	8006.1556
1;	5;	18216.9833
1;	6;	22367.3828
1;	7;	18439.4690
1;	8;	24231.5116
1;	9;	23729.6975
2;	0;	5031.8205
2;	1;	13315.4588
2;	2;	21604.7370
2;	3;	5669.6563
2;	4;	9582.9062
2;	5;	10787.5940
2;	6;	3437.4778
2;	7;	7988.3403
2;	8;	10877.8148
2;	9;	8505.7493
