i,	j,	accuracy
0,	0,	0.8947
0,	1,	0.7105
0,	2,	0.6711
0,	3,	0.6579
0,	4,	0.7368
0,	5,	0.7368
0,	6,	0.7368
0,	7,	0.7105
0,	8,	0.8026
0,	9,	0.6447
1,	0,	0.8684
1,	1,	0.7500
1,	2,	0.7105
1,	3,	0.6974
1,	4,	0.7237
1,	5,	0.7105
1,	6,	0.6184
1,	7,	0.7895
1,	8,	0.6579
1,	9,	0.6842
2,	0,	0.8684
2,	1,	0.6316
2,	2,	0.7237
2,	3,	0.8026
2,	4,	0.6579
2,	5,	0.7500
2,	6,	0.7368
2,	7,	0.6974
2,	8,	0.5658
2,	9,	0.7632
