4;	0;	693.2517
4;	1;	816.4695
4;	2;	1101.7546
4;	3;	1156.2177
4;	4;	943.2385
4;	5;	728.8079
4;	6;	1241.7718
4;	7;	983.5812
4;	8;	800.9129
4;	9;	715.5172
4;	10;	839.9303
4;	11;	1141.0804
4;	12;	1048.7487
4;	13;	855.4111
4;	14;	1110.5191
4;	15;	1145.0057
4;	16;	618.8936
5;	0;	1018.4117
5;	1;	1213.9621
5;	2;	994.4738
5;	3;	1211.9891
5;	4;	860.5830
5;	5;	851.6423
5;	6;	856.6982
5;	7;	1181.9912
5;	8;	855.4944
5;	9;	814.7316
5;	10;	606.1438
5;	11;	1122.3126
5;	12;	1098.8080
5;	13;	571.2306
5;	14;	615.9871
5;	15;	899.3961
5;	16;	1189.4704
