i,	j,	accuracy
4,	0,	0.6250
4,	1,	0.6071
4,	2,	0.6339
4,	3,	0.8036
4,	4,	0.8482
4,	5,	0.8125
4,	6,	0.5982
4,	7,	0.6339
4,	8,	0.5625
4,	9,	0.6429
4,	10,	0.7143
4,	11,	0.7946
4,	12,	0.7946
4,	13,	0.7679
4,	14,	0.6071
4,	15,	0.7589
4,	16,	0.6339
5,	0,	0.7321
5,	1,	0.6964
5,	2,	0.6429
5,	3,	0.7768
5,	4,	0.6696
5,	5,	0.8304
5,	6,	0.6786
5,	7,	0.5446
5,	8,	0.6429
5,	9,	0.6786
5,	10,	0.6786
5,	11,	0.8571
5,	12,	0.7321
5,	13,	0.7768
5,	14,	0.5982
5,	15,	0.7232
5,	16,	0.6339
