4;	0;	776.7369
4;	1;	899.7880
4;	2;	1191.4027
4;	3;	1244.5232
4;	4;	1027.7946
4;	5;	809.3837
4;	6;	1333.3133
4;	7;	1071.1214
4;	8;	889.1003
4;	9;	800.2659
4;	10;	924.2892
4;	11;	1231.5293
4;	12;	1136.6146
4;	13;	941.6183
4;	14;	1198.2134
4;	15;	1232.6658
4;	16;	697.6679
5;	0;	1101.6354
5;	1;	1300.0065
5;	2;	1078.9991
5;	3;	1303.1957
5;	4;	946.4948
5;	5;	935.9708
5;	6;	938.4993
5;	7;	1272.1040
5;	8;	936.7892
5;	9;	896.1804
5;	10;	682.9925
5;	11;	1208.6312
5;	12;	1184.7256
5;	13;	650.1967
5;	14;	695.6092
5;	15;	983.7309
5;	16;	1278.0863
