i,	j,	accuracy
3,	0,	0.6339
3,	1,	0.6875
3,	2,	0.7857
3,	3,	0.6339
3,	4,	0.8125
3,	5,	0.6339
3,	6,	0.6429
3,	7,	0.6429
3,	8,	0.4554
3,	9,	0.6964
3,	10,	0.8750
3,	11,	0.8214
3,	12,	0.5714
3,	13,	0.7143
3,	14,	0.4911
3,	15,	0.7500
3,	16,	0.6339
3,	17,	0.7589
3,	18,	0.6696
3,	19,	0.7946
3,	20,	0.3571
3,	21,	0.6161
3,	22,	0.7232
3,	23,	0.6964
3,	24,	0.6875
3,	25,	0.7054
3,	26,	0.6964
